Nit;Pho;Dox;Ppn;Sst;Chl;Sal
125.08;1.47;255.27;25.11;12.99;14.13;14.90
127.85;1.64;255.54;25.89;12.98;14.54;15.00
130.81;1.86;255.61;26.90;12.97;14.64;15.09
133.99;2.07;255.29;26.68;12.99;13.92;15.15
136.81;2.23;255.76;26.21;13.00;13.10;15.16
139.98;2.41;254.47;24.71;13.00;12.05;15.13
119.74;1.19;253.97;23.26;13.08;12.14;14.33
123.52;1.33;254.00;23.52;13.08;12.24;14.75
126.88;1.50;253.80;23.88;13.05;12.16;14.87
130.00;1.68;254.20;24.51;13.03;12.32;15.04
132.91;1.91;254.06;24.71;13.03;12.17;15.18
135.79;2.10;253.94;24.48;13.05;11.61;15.29
138.32;2.27;253.46;23.70;13.08;10.79;15.36
140.19;2.37;253.18;22.85;13.09;10.34;15.38
135.20;2.10;257.82;17.71;13.01;9.90;13.88
116.62;1.06;254.09;21.39;13.06;11.74;13.78
121.29;1.20;254.22;21.48;13.08;11.44;14.02
125.36;1.38;253.93;21.15;13.09;11.13;14.51
128.81;1.56;253.95;21.69;13.08;11.08;14.85
132.01;1.73;253.98;23.05;13.07;11.37;15.09
134.75;1.90;254.10;23.71;13.08;11.52;15.27
137.13;2.06;253.84;23.20;13.11;10.98;15.41
138.26;2.18;253.58;22.95;13.15;10.52;15.52
138.48;2.23;253.25;22.35;13.17;10.05;15.58
138.25;2.19;253.13;21.64;13.19;9.73;15.59
137.07;2.08;252.36;21.16;13.20;9.50;15.54
134.43;1.96;252.17;21.10;13.20;9.50;15.40
131.40;1.90;252.57;21.81;13.19;9.78;15.17
129.30;1.93;253.44;23.22;13.16;10.29;14.86
128.46;2.09;254.89;25.99;13.12;11.14;14.48
129.48;2.32;255.59;25.64;13.06;11.27;14.06
116.87;1.07;254.32;20.77;13.07;11.37;13.42
122.07;1.27;253.92;19.29;13.10;10.63;13.89
126.46;1.48;253.52;19.11;13.12;10.42;14.53
130.01;1.62;253.62;20.43;13.09;10.75;14.93
132.41;1.73;253.97;22.05;13.11;11.47;15.20
134.55;1.85;254.18;23.19;13.13;11.79;15.38
136.35;1.95;254.12;23.01;13.17;11.37;15.52
136.85;2.01;253.77;22.46;13.20;10.78;15.64
136.27;1.99;253.56;22.24;13.23;10.34;15.72
135.35;1.93;253.27;21.90;13.27;10.11;15.76
133.31;1.84;253.26;21.77;13.30;9.97;15.73
130.16;1.78;253.20;21.79;13.31;9.87;15.62
127.43;1.79;252.98;22.40;13.30;10.17;15.40
125.39;1.87;253.09;23.66;13.26;10.74;15.07
124.34;2.03;253.85;25.59;13.20;11.68;14.69
124.90;2.22;254.48;26.61;13.13;12.17;14.27
110.45;0.94;254.88;21.08;13.06;12.29;13.55
115.62;1.13;254.45;19.40;13.08;11.31;13.61
120.84;1.35;253.88;17.67;13.10;10.47;14.15
125.25;1.53;253.67;17.61;13.11;10.41;14.78
128.50;1.65;253.75;18.97;13.12;10.71;15.13
130.20;1.73;254.01;21.21;13.15;11.42;15.36
131.57;1.79;254.20;22.71;13.18;11.88;15.52
132.57;1.85;254.15;22.93;13.21;11.62;15.64
132.54;1.86;253.88;22.45;13.24;11.06;15.73
131.40;1.83;253.77;21.84;13.27;10.59;15.81
129.91;1.79;253.45;21.28;13.32;10.17;15.85
127.14;1.76;253.08;20.83;13.36;9.89;15.85
123.59;1.78;252.95;21.01;13.39;9.86;15.77
120.67;1.83;253.49;22.92;13.39;10.72;15.58
119.27;1.93;253.54;24.53;13.36;11.66;15.28
118.71;2.07;254.26;26.11;13.30;12.53;14.92
119.08;2.24;253.33;26.02;13.22;12.51;14.52
108.70;1.05;255.40;20.66;13.12;12.12;14.27
112.47;1.23;254.76;18.56;13.12;11.36;14.40
116.18;1.41;254.26;17.00;13.13;10.78;14.72
118.80;1.54;254.00;17.13;13.14;10.77;15.09
120.72;1.65;253.91;17.85;13.17;10.88;15.35
121.69;1.72;253.96;19.10;13.20;11.19;15.53
122.38;1.75;254.07;20.29;13.22;11.62;15.65
122.34;1.78;253.96;20.39;13.25;11.63;15.74
120.47;1.80;253.83;20.11;13.28;11.24;15.82
116.95;1.80;253.51;19.28;13.32;10.61;15.87
114.37;1.82;253.14;18.60;13.37;10.14;15.91
111.99;1.85;252.93;18.39;13.42;9.85;15.92
109.44;1.90;253.21;19.78;13.45;10.21;15.87
109.26;1.95;253.75;23.15;13.46;11.36;15.71
112.37;2.01;254.30;25.24;13.43;12.49;15.45
114.25;2.13;253.57;25.71;13.38;13.12;15.11
104.31;1.08;256.06;22.28;13.20;12.49;14.67
104.70;1.16;255.81;20.18;13.20;12.16;14.71
105.50;1.32;255.20;18.10;13.18;11.68;14.86
105.85;1.47;254.72;16.81;13.18;11.22;15.10
104.96;1.59;254.50;16.61;13.19;11.12;15.33
103.38;1.68;254.35;16.85;13.22;11.15;15.51
101.83;1.72;254.23;17.15;13.24;11.26;15.65
100.72;1.76;254.08;17.44;13.27;11.36;15.75
99.39;1.79;253.87;17.61;13.30;11.33;15.83
96.80;1.81;253.65;17.46;13.34;11.01;15.89
93.55;1.85;253.42;17.15;13.39;10.52;15.93
91.20;1.89;253.17;17.01;13.43;10.14;15.96
